Start time = 1674614052227;
Timestamp;PPI
1674614781514;735
1674614782220;706
1674614782916;696
1674614783602;686
1674614784285;683
1674614784959;674
1674614785638;679
1674614786307;669
1674614786996;689
1674614787691;695
1674614788413;722
1674614789145;732
1674614789876;731
1674614790643;767
1674614791437;794
1674614792198;761
1674614792985;787
1674614793776;791
1674614794573;797
1674614795338;765
1674614796103;765
1674614796882;779
1674614797660;778
1674614798420;760
1674614799154;734
1674614799887;733
1674614800617;730
1674614801368;751
1674614802100;732
1674614802839;739
1674614803579;740
1674614804332;753
1674614805074;742
1674614805829;755
1674614806567;738
1674614807311;744
1674614808050;739
1674614808777;727
1674614809488;711
1674614810277;789
1674614811520;1243
1674614812295;775
1674614813691;1396
1674614814830;1139
1674614815643;813
1674614816469;826
1674614817736;1267
1674614818829;1093
1674614819399;570
1674614819955;556
1674614820514;559
1674614821070;556
1674614821625;555
1674614822177;552
1674614822741;564
1674614823297;556
1674614823840;543
1674614824397;557
1674614824953;556
1674614825525;572
1674614826094;569
1674614826669;575
1674614827231;562
1674614827844;613
1674614828451;607
1674614829072;621
1674614829678;606
1674614831075;1397
1674614832567;1492
1674614833152;585
1674614833736;584
1674614834367;631
1674614835059;692
1674614835803;744
1674614836561;758
1674614837341;780
1674614838088;747
1674614838855;767
1674614839663;808
1674614840409;746
1674614841179;770
1674614841979;800
1674614842782;803
1674614843605;823
1674614844417;812
1674614845230;813
1674614846043;813
1674614846842;799
1674614847647;805
1674614848392;745
1674614849136;744
1674614849833;697
1674614850531;698
1674614851219;688
1674614851846;627
1674614852501;655
1674614853164;663
1674614853843;679
1674614854551;708
1674614855192;641
1674614855895;703
1674614856601;706
1674614857316;715
1674614858046;730
1674614858766;720
1674614859488;722
1674614860201;713
1674614860906;705
1674614861604;698
1674614862297;693
1674614862993;696
1674614863681;688
1674614864391;710
1674614865093;702
1674614865801;708
1674614866483;682
1674614867220;737
1674614867954;734
1674614868687;733
1674614869418;731
1674614870164;746
1674614870922;758
1674614871619;697
1674614872329;710
1674614873061;732
1674614873699;638
1674614874421;722
1674614875105;684
1674614875767;662
1674614876478;711
1674614877192;714
1674614877975;783
1674614878728;753
1674614879441;713
1674614880223;782
1674614880948;725
1674614881695;747
1674614882447;752
1674614883208;761
1674614883954;746
1674614884696;742
1674614885432;736
1674614886176;744
1674614886911;735
1674614887630;719
1674614888365;735
1674614889094;729
1674614889817;723
1674614890529;712
1674614891254;725
1674614891997;743
1674614892733;736
1674614893443;710
1674614894180;737
1674614894919;739
1674614895648;729
1674614896357;709
1674614897082;725
1674614897880;798
1674614898579;699
1674614899154;575
1674614899811;657
1674614900448;637
1674614901077;629
1674614901720;643
